47.57.182.141:443#HK [优选高速 39.55ms]
47.239.4.246:2053#HK [43.83ms]
123.254.106.203:443#HK [52.58ms]
47.239.4.246:8443#HK [57.46ms]
103.43.191.121:8443#HK [60.59ms]
103.118.42.16:8443#HK [优选高速 61.1ms]
47.239.4.246:443#HK [62.11ms]
154.38.116.8:443#HK [89.13ms]
159.138.138.87:443#HK [优选高速 179.87ms]
45.136.14.61:2053#HK [241.44ms]
45.8.112.158:443#JP [73.86ms]
38.207.130.231:8443#JP [84.51ms]
126.220.82.161:443#JP [88.7ms]
115.163.106.137:443#JP [102.55ms]
167.179.76.8:443#JP [125.51ms]
47.245.62.4:8443#JP [128.32ms]
140.83.34.214:8443#JP [167.97ms]
161.248.254.27:443#JP [168.67ms]
108.160.133.80:443#JP [199.82ms]
172.237.5.208:2053#JP [209.0ms]
168.107.13.136:8443#KR [50.67ms]
103.78.133.103:443#KR [60.26ms]
129.154.50.159:443#KR [优选高速 73.5ms]
119.205.235.58:443#KR [151.07ms]
132.145.91.181:8443#KR [308.83ms]
130.162.132.38:443#KR [318.74ms]
193.122.108.223:443#KR [329.77ms]
130.162.130.105:443#KR [333.04ms]
45.82.246.235:2053#KR [334.72ms]
104.43.91.69:443#SG [84.31ms]
43.134.174.114:443#SG [196.92ms]
47.236.119.109:443#SG [201.97ms]
13.212.193.78:443#SG [231.98ms]
134.185.93.231:443#SG [264.24ms]
172.104.186.30:443#SG [269.48ms]
172.237.84.250:443#SG [270.82ms]
146.235.16.191:443#SG [291.6ms]
129.150.46.113:443#SG [317.37ms]
172.104.186.18:8443#SG [320.79ms]
114.33.57.170:443#TW [86.95ms]
167.253.153.147:443#TW [289.52ms]
167.253.153.215:443#TW [290.22ms]
47.57.181.17:443#US [45.5ms]
104.168.102.121:2053#US [145.18ms]
23.94.123.231:443#US [148.06ms]
104.168.88.177:443#US [151.95ms]
38.60.91.95:443#US [152.1ms]
165.232.148.158:443#US [153.84ms]
165.227.3.141:443#US [154.69ms]
162.243.143.110:443#US [154.76ms]
45.156.24.228:2053#US [154.79ms]
107.173.34.130:8443#US [154.79ms]
